Model,Batch Size,Actual (ms),Predicted (ms),Error
DenseNet121,64,57.88,68.19,17.8%
DenseNet121,128,59.05,68.99,16.8%
DenseNet121,256,60.69,71.10,17.2%
ResNet50,64,28.71,33.19,15.6%
ResNet50,128,29.39,33.87,15.2%
ResNet50,256,34.01,36.54,7.4%
VGG16,64,27.85,28.66,2.9%
VGG16,128,37.75,39.66,5.1%
VGG16,256,60.28,59.00,2.1%
,,,,
